,PatentNumber,PatentAsignee
363,WO2018170340-A1,HARVARD COLLEGE (HARD-C)
364,WO2018170099-A1,AMGEN INC (AMGE-C)
365,WO2018170099-A1,AMGEN INC (AMGE-C)
366,CN108531649-A,UNIV SICHUAN AGRIC (USND-C)
367,CN108531658-A,UNIV LONGYAN (UYLO-Non-standard)
368,CN108531648-A,UNIV SICHUAN AGRIC (USND-C)
369,WO2018164573-A1,ACAD ZIEKENHUIS LEIDEN HODN LUMC (ZIEK-Non-standard)
370,WO2018164573-A1,UNIV MANITOBA (UMNB-C)
371,WO2018164573-A1,UNIV TORONTO GOVERNING COUNCIL (UTOR-C)
372,US2018258159-A1,ADMA BIOLOGICS INC (ADMA-Non-standard)
373,WO2018160977-A1,UNIV LOYOLA CHICAGO (LOYO-C)
374,WO2018160977-A1,UNIV LOYOLA CHICAGO (LOYO-C)
375,WO2018160977-A1,US SEC OF AGRIC (USDA-C)
376,US2018250602-A1,FOLIA BIOTECH INC (FOLI-Non-standard)
377,CN108478571-A,INST BEIJING VIRAL DISEASE CONTROL & PRE (CCDC-C)
378,CN108478562-A,INST BEIJING VIRAL DISEASE CONTROL & PRE (CCDC-C)
379,WO2018154075-A1,HVIVO SERVICES LTD (HVIV-Non-standard)
380,US2018244728-A1,US DEPT HEALTH & HUMAN SERVICES (USSH-C)
381,US2018244728-A1,US HOMELAND SECURITY (USHO-Non-standard)
382,WO2018153960-A1,IMMUNE SYSTEM REGULATION HOLDING AB (IMMU-Non-standard)
383,WO2018153960-A1,IMMUNE SYSTEM REGULATION HOLDING AB (IMMU-Non-standard)
384,CN108411040-A,UNIV ZHEJIANG (UYZH-C)
385,CN108411040-A,GUANGDONG LAB ANIMALS MONITORING INST (GUAN-Non-standard)
386,CN108395471-A,CHINA PLA ACAD MILITARY MEDICAL SCI MEDI (JSYX-C)
387,KR2018090509-A,UNIV YONSEI IND ACADEMIC COOP FOUND (UYIA-C)
388,KR2018090513-A,UNIV YONSEI IND ACADEMIC COOP FOUND (UYIA-C)
389,CN108384762-A,GUANDONG WENS FOOD GROUP CO LTD (GUAN-Non-standard)
390,KR1886274-B1,BIONEER CORP (BINR-C)
391,KR1886274-B1,KOREA DISEASE CONTROL & PREVENTION CENT (KODI-Non-standard)
392,KR1886272-B1,BIONEER CORP (BINR-C)
393,KR1886272-B1,KOREA DISEASE CONTROL & PREVENTION CENT (KODI-Non-standard)
394,CN108374056-A,BEIJING ACAD AGRIC & FORESTRY SCI (BJAF-C)
395,WO2018140766-A2,BOEHRINGER INGELHEIM VETMEDICA INC (BOEH-C)
396,WO2018140766-A2,BOEHRINGER INGELHEIM ANIMAL HEALTH INC (BOEH-C)
397,WO2018140766-A2,BOEHRINGER INGELHEIM ANIMAL HEALTH INC (BOEH-C)
398,WO2018140766-A2,BOEHRINGER INGELHEIM ANIMAL HEALTH INC (BOEH-C)
399,WO2018138644-A2,HUANG L (HUAN-Individual)
400,WO2018138644-A2,UNIV TAIWAN NAT (UNTU-C)
401,WO2018138644-A2,HUANG L (HUAN-Individual)
402,WO2018138644-A2,HUANG L (HUAN-Individual)
403,WO2018138644-A2,HUANG S (HUAN-Individual)
404,WO2018138644-A2,UNIV TAIWAN NAT (UNTU-C)
405,US2018215823-A1,REGENERON PHARM INC (REGN-C)
406,WO2018138292-A1,ENZYMATICA AB (ENZY-Non-standard)
407,CN108339017-A,AMICOGEN INC (AMIC-Non-standard)
408,CN108324715-A,INST BEIJING VIRAL DISEASE CONTROL & PRE (CCDC-C)
409,WO2018135882-A1,UNIV CATHOLIC KOREA IND ACADEMIC COOP (UYKC-C)
410,WO2018134265-A1,FORREST M D (FORR-Individual)
411,WO2018134265-A1,FORREST M D (FORR-Individual)
412,CN108318685-A,GUANGZHOU MINJIE BIOTECHNOLOGY CO LTD (GUAN-Non-standard)
413,CN108315490-A,XIANYANG VOCATIONAL & TECH COLLEGE (XIAN-Non-standard)
414,CN108318686-A,UNIV HEILONGJIANG BAYI AGRIC (UYON-C)
415,CN108277298-A,ANIMAL HUSBANDRY & VETERINARY INST HUBEI (ANIM-Non-standard)
416,WO2018129188-A1,NANOTICS LLC (NANO-Non-standard)
417,WO2018129207-A1,NANOTICS LLC (NANO-Non-standard)
418,WO2018129207-A1,NANOTICS LLC (NANO-Non-standard)
419,WO2018129233-A1,UNIV GEORGIA STATE RES FOUND (UYGA-C)
420,WO2018129233-A1,UNIV GEORGIA STATE RES FOUND (UYGA-C)
421,WO2018129270-A1,HUTCHINSON CANCER RES CENT FRED (CANC-C)
422,WO2018129270-A1,HUTCHINSON CANCER RES CENT FRED (CANC-C)
423,KR2018078402-A,UNIV KOREA POLYTECHNIC IND ACADEMIC COOP (UYKO-Non-standard)
424,KR2018078402-A,BORE DA BIOTECH (BORE-Non-standard)
425,KR2018079136-A,GREEN T IND CO LTD (GREE-Non-standard)
426,US2018185380-A1,BOEHRINGER INGELHEIM VETMEDICA GMBH (BOEH-C)
427,WO2018115527-A2,CUREVAC AG (CURE-Non-standard)
428,WO2018115527-A2,CUREVAC AG (CURE-Non-standard)
429,WO2018115527-A2,CUREVAC AG (CURE-Non-standard)
430,WO2018116198-A1,SERUM INST INDIA LTD (SERU-Non-standard)
431,WO2018116198-A1,SERUM INDIA INST PVT LTD (SERU-Non-standard)
432,WO2018116198-A1,SERUM INST INDIA LTD (SERU-Non-standard)
433,WO2018116198-A1,SERUM INST INDIA LTD (SERU-Non-standard)
434,WO2018116198-A1,SERUM INST INDIA PVT LTD (SERU-Non-standard)
435,WO2018112648-A1,NEOMED INST (NEOM-Non-standard)
436,WO2018112648-A1,NEOMED INST (NEOM-Non-standard)
437,RU2658351-C1,AS RUSSIA POULTRY RES TECHNOLOGY INST (ASPO-Non-standard)
438,US2018161381-A1,MEAD JOHNSON NUTRITION CO (MEAD-C)
439,WO2018107129-A1,BROAD INST INC (BROD-C)
440,WO2018107129-A1,MASSACHUSETTS INST TECHNOLOGY (MASI-C)
441,WO2018107129-A1,HARVARD COLLEGE (HARD-C)
442,WO2018107129-A1,BROAD INST INC (BROD-C)
443,WO2018107129-A1,MASSACHUSETTS INST TECHNOLOGY (MASI-C)
444,WO2018107129-A1,HARVARD COLLEGE (HARD-C)
445,WO2018107129-A1,BROAD INST INC (BROD-C)
446,WO2018107129-A1,MASSACHUSETTS INST TECHNOLOGY (MASI-C)
447,WO2018107129-A1,HARVARD COLLEGE (HARD-C)
448,WO2018107129-A1,BROAD INST INC (BROD-C)
449,WO2018107129-A1,MASSACHUSETTS INST TECHNOLOGY (MASI-C)
450,WO2018107129-A1,HARVARD COLLEGE (HARD-C)
451,US2018163230-A1,MERIAL INC (SNFI-C)
452,US2018163230-A1,MERIAL INC (SNFI-C)
453,US2018163230-A1,BOEHRINGER INGELHEIM ANIMAL HEALTH INC (BOEH-C)
454,US2018163230-A1,BOEHRINGER INGELHEIM ANIMAL HEALTH INC (BOEH-C)
455,US2018163230-A1,BOEHRINGER INGELHEIM ANIMAL HEALTH INC (BOEH-C)
456,US2018163230-A1,BOEHRINGER INGELHEIM ANIMAL HEALTH INC (BOEH-C)
457,US2018162835-A1,FORMA THERAPEUTICS INC (FORM-Non-standard)
458,CN108129366-A,UNIV NANJING (UNAJ-C)
459,WO2018097603-A2,SK CHEM CO LTD (SKSK-C)
460,WO2018097603-A2,ICAHN SCHOOL MEDICINE AT MOUNT SINAI (SKSK-C)
461,WO2018098133-A1,MEDIGEN INC (MEDI-Non-standard)
462,WO2018098133-A1,MEDIGEN INC (MEDI-Non-standard)
463,WO2018098133-A1,MEDIGEN INC (MEDI-Non-standard)
464,WO2018098133-A1,MEDIGEN INC (MEDI-Non-standard)
465,CN108085417-A,SOUTHWEST MINZU NATIONALITIES (USWN-C)
466,WO2018091965-A1,JANSSEN SCI IRELAND UC (JOHJ-C)
467,WO2018094241-A1,NEW YORK BLOOD CENT INC (NYBL-C)
468,WO2018094241-A1,NEW YORK BLOOD CENT INC (NYBL-C)
469,WO2018094241-A1,NEW YORK BLOOD CENT INC (NYBL-C)
470,WO2018094403-A1,UNIV PITTSBURGH COMMONWEALTH SYSTEM HIGH (UPIT-C)
471,WO2018094403-A1,UNIV PITTSBURGH COMMONWEALTH SYSTEM HIGH (UPIT-C)
472,CN108060272-A,ANIMAL HUSBANDRY & VETERINARY INST HUBEI (ANIM-Non-standard)
473,KR2018052317-A,UNIV CHUNGBUK NAT IND ACADEMIC COOP FOU (UYCK-C)
474,KR1857684-B1,KOGENE BIOTECH CO LTD (KOGE-Non-standard)
475,KR1857684-B1,KOREA CENT DISEASE CONTROL & PREVENTION (KODI-Non-standard)
476,KR1857685-B1,KOGENE BIOTECH CO LTD (KOGE-Non-standard)
477,KR1857685-B1,KOREA CENT DISEASE CONTROL & PREVENTION (KODI-Non-standard)
478,CN108018261-A,PULIKE BIOLOGICAL ENG INC (PULI-Non-standard)
479,JP2018068193-A,KAO CORP (KAOS-C)
480,CN107982357-A,ZHOU G (ZHOU-Individual)
481,WO2018081318-A1,US DEPT HEALTH & HUMAN SERVICES (USSH-C)
482,WO2018081318-A1,DARTMOUTH COLLEGE (DARC-C)
483,WO2018081318-A1,SCRIPPS RES INST (SCRI-C)
484,WO2018081318-A1,US DEPT HEALTH & HUMAN SERVICES (USSH-C)
485,WO2018081318-A1,DARTMOUTH COLLEGE (DARC-C)
486,WO2018081318-A1,SCRIPPS RES INST (SCRI-C)
487,US2018117116-A1,MARSHALL C (MARS-Individual)
488,US2018117116-A1,CALDER BIOSCIENCES INC (CALD-Non-standard)
489,CN107970446-A,GUANGXI ZHUANG AUTONOMOUS REGION VETERIN (GUAN-Non-standard)
490,CN107970446-A,JILIN HANKANG DONGBAO BIOTECHNOLOGY CO (JILI-Non-standard)
491,WO2018073549-A1,UNIV LYON 1 BERNARD CLAUDE (UYLY-Non-standard)
492,WO2018073549-A1,INSERM INST NAT SANTE & RECH MEDICALE (INRM-C)
493,WO2018073549-A1,CNRS CENT NAT RECH SCI (CNRS-C)
494,WO2018073549-A1,CENT NAT RECH SCI (CNRS-C)
495,WO2018073549-A1,INSERM INST NAT SANTE & RECH MEDICALE (INRM-C)
496,WO2018073549-A1,CNRS CENT NAT RECH SCI (CNRS-C)
497,WO2018073549-A1,UNIV LYON 1 BERNARD CLAUDE (UYLY-Non-standard)
498,WO2018073549-A1,UNIV LYON 1 BERNARD CLAUDE (UYLY-Non-standard)
499,WO2018073549-A1,INSERM INST NAT SANTE & RECH MEDICALE (INRM-C)
500,WO2018073549-A1,CENT NAT RECH SCI (CNRS-C)
501,WO2018073549-A1,UNIV LYON 1 BERNARD CLAUDE (UYLY-Non-standard)
502,WO2018073549-A1,CNRS CENT NAT RECH SCI (CNRS-C)
503,WO2018073549-A1,INSERM INST NAT SANTE & RECH MEDICALE (INRM-C)
504,AU2018202168-A1,3M INNOVATIVE PROPERTIES CO (MINN-C)
505,CN107955839-A,UNIV SOUTH CHINA AGRIC (USCG-C)
506,KR2018040164-A,UNIV KONKUK IND COOP CORP (UKUK-C)
507,EP3308786-A1,ETH ZUERICH (ETHE-C)
508,EP3308786-A1,ETH ZUERICH (ETHE-C)
509,EP3305289-A1,UNIV PHILIPPS MARBURG (UYPH-Non-standard)
510,EP3305289-A1,UNIV GIESSEN JUSTUS-LIEBIG (UYGI-Non-standard)
511,EP3305290-A1,UNIV PHILIPPS MARBURG (UYPH-Non-standard)
512,EP3305290-A1,UNIV GIESSEN JUSTUS-LIEBIG (UYGI-Non-standard)
513,CN107880120-A,SHAANXI NUOWEILIHUA BIOTECHNOLOGY CO LTD (SHAA-Non-standard)
514,CN107875381-A,SHAANXI NUOWEILIHUA BIOTECHNOLOGY CO LTD (SHAA-Non-standard)
515,WO2018062954-A1,NANORMICS INC CO LTD (NANO-Non-standard)
516,WO2018062954-A1,NANORMICS INC (NANO-Non-standard)
517,US2018092932-A1,LIFE TECHNOLOGIES CORP (LITC-C)
518,US2018092932-A1,UNIV JOHNS HOPKINS (UYJO-C)
519,WO2018055040-A1,ASTRAZENECA AB (ASTR-C)
520,WO2018055040-A1,ASTRAZENECA AB (ASTR-C)
521,WO2018055040-A1,ASTRAZENECA AB (ASTR-C)
522,WO2018057710-A1,AOBIOME LLC (AOBI-Non-standard)
523,WO2018057710-A1,KRUEGER T (KRUE-Individual)
524,WO2018057710-A1,AOBIOME LLC (AOBI-Non-standard)
525,WO2018057710-A1,AOBIOME LLC (AOBI-Non-standard)
526,WO2018057710-A1,KRUEGER T (KRUE-Individual)
527,US2018086818-A1,ADMA BIOLOGICS INC (ADMA-Non-standard)
528,CN107831317-A,HANGZHOU WEIRUI TECHNOLOGY CO LTD (HANG-Non-standard)
529,CN107828706-A,UNIV NORTHEAST AGRIC (UNEA-C)
530,WO2018053542-A1,UNIV SOUTHERN CALIFORNIA (USCA-C)
531,WO2018053542-A1,UNIV SOUTHERN CALIFORNIA (USCA-C)
532,WO2018053542-A1,UNIV SOUTHERN CALIFORNIA (USCA-C)
533,WO2018051254-A1,AURIGENE DISCOVERY TECHNOLOGIES LTD (REDY-C)
534,WO2018051255-A1,AURIGENE DISCOVERY TECHNOLOGIES LTD (REDY-C)
535,CN107815440-A,UNIV HUAZHONG AGRIC (UHZA-C)
536,CN107802656-A,UNIV SHANDONG AGRIC (UYSD-C)
537,CN107802656-A,WEIFANG HAVING BIOTECHNOLOGY CO LTD (WEIF-Non-standard)
538,WO2018042343-A2,GLAXOSMITHKLINE INTELLECTUAL PROPERTY (GLAX-C)
539,US2018066216-A1,MOREHOUSE SCHOOL MEDICINE (MORE-Non-standard)
540,US2018066216-A1,DEVMAR PROD LLC (DEVM-Non-standard)
541,US2018066216-A1,INNOVATIVE ENVIRONMENTAL CO (INNO-Non-standard)
542,US2018066216-A1,MOREHOUSE SCHOOL MEDICINE (MORE-Non-standard)
543,US2018066216-A1,DEVMAR PROD LLC (DEVM-Non-standard)
544,US2018066216-A1,INNOVATIVE ENVIRONMENTAL CO (INNO-Non-standard)
545,US2018066216-A1,MOREHOUSE SCHOOL MEDICINE (MORE-Non-standard)
546,US2018066216-A1,DEVMAR PROD LLC (DEVM-Non-standard)
547,US2018066216-A1,INNOVATIVE ENVIRONMENTAL CO (INNO-Non-standard)
548,US2018066216-A1,MOREHOUSE SCHOOL MEDICINE (MORE-Non-standard)
549,US2018066216-A1,DEVMAR PROD LLC (DEVM-Non-standard)
550,US2018066216-A1,INNOVATIVE ENVIRONMENTAL CO (INNO-Non-standard)
551,WO2018043733-A1,JAPAN SCI & TECHNOLOGY AGENCY (JSTA-C)
552,WO2018043733-A1,JAPAN SCI & TECHNOLOGY AGENCY (JSTA-C)
553,WO2018043733-A1,JAPAN SCI & TECHNOLOGY AGENCY (JSTA-C)
554,WO2018043733-A1,JAPAN SCI & TECHNOLOGY AGENCY (JSTA-C)
555,CN207074216-U,HANGZHOU TAIXI BIOTECHNOLOGY CO LTD (HANG-Non-standard)
556,WO2018038877-A1,3M INNOVATIVE PROPERTIES CO (MINN-C)
557,WO2018038877-A1,3M INNOVATIVE PROPERTIES CO (MINN-C)
558,WO2018038877-A1,3M INNOVATIVE PROPERTIES CO (MINN-C)
559,WO2018038877-A1,3M INNOVATIVE PROPERTIES CO (MINN-C)
560,US2018057488-A1,INHIBIKASE THERAPEUTICS INC (INHI-Non-standard)
561,RU2016133899-A,ONO PHARM CO (ONOY-C)
562,RU2016133899-A,MEDAREX INC (BRIM-C)
563,WO2018035509-A2,CHARUSHIN V (CHAR-Individual)
564,WO2018035509-A2,CHUPAKHIN O (CHUP-Individual)
565,WO2018035509-A2,DANILENKO D (DANI-Individual)
566,WO2018035509-A2,DEEVA E (DEEV-Individual)
567,WO2018035509-A2,KISELEV O I (KISE-Individual)
568,WO2018035509-A2,MEDVEDEVA N (MEDV-Individual)
569,WO2018035509-A2,RUSINOV V (RUSI-Individual)
570,WO2018035509-A2,SAPOZHNIKOVA I (SAPO-Individual)
571,WO2018035509-A2,ULOMSKY E (ULOM-Individual)
572,WO2018035509-A2,GRL INC (GRLG-Non-standard)
573,WO2018035509-A2,GEN RES LAB (GERE-Non-standard)
574,WO2018035509-A2,KISELEV O I (KISE-Individual)
575,WO2018035509-A2,RUSINOV V (RUSI-Individual)
576,WO2018035509-A2,ULOMSKY E (ULOM-Individual)
577,WO2018035509-A2,MEDVEDEVA N (MEDV-Individual)
578,WO2018035509-A2,SAPOZHNIKOVA I (SAPO-Individual)
579,WO2018035509-A2,CHARUSHIN V (CHAR-Individual)
580,WO2018035509-A2,CHUPAKHIN O (CHUP-Individual)
581,WO2018035509-A2,DANILENKO D (DANI-Individual)
582,WO2018035509-A2,DEEVA E (DEEV-Individual)
583,WO2018035509-A2,GRL INC (GRLG-Non-standard)
584,CN107699635-A,CHINESE ACAD INSPECTION & QUARANTINE (CAIQ-C)
585,JP2018024610-A,MITSUI NORIN KK (MITS-Non-standard)
586,JP2018024610-A,UNIV TOKYO (UYTY-C)
587,WO2018029690-A1,MEMED DIAGNOSTICS LTD (MEME-Non-standard)
588,WO2018029690-A1,MEMED DIAGNOSTICS LTD (MEME-Non-standard)
589,WO2018029690-A1,MEMED DIAGNOSTICS CO LTD (MEME-Non-standard)
590,WO2018029690-A1,MEMED DIAGNOSTICS LTD (MEME-Non-standard)
591,KR1828794-B1,CELLTRION INC (CELL-Non-standard)
592,JP2018020989-A,UBE IND LTD (UBEI-C)
593,CN107653231-A,HENAN SCI & TECHNOLOGY INST (HESC-C)
594,WO2018023054-A1,UNIV KANSAS STATE RES FOUND (UNIV-C)
595,WO2018023054-A1,UNIV WICHITA STATE (UYWI-Non-standard)
596,WO2018023054-A1,UNIV KANSAS STATE RES FOUND (UNIV-C)
597,WO2018023054-A1,UNIV WICHITA STATE (UYWI-Non-standard)
598,WO2018022664-A1,FLAGSHIP PIONEERING INC (FLAG-Non-standard)
599,WO2018022664-A1,WEINSTEIN E (WEIN-Individual)
600,WO2018022664-A1,MATA-FINK J (MATA-Individual)
601,WO2018022664-A1,KAHVEJIAN A (KAHV-Individual)
602,WO2018022664-A1,AFEYAN N B (AFEY-Individual)
603,WO2018022664-A1,JEANBART L K (JEAN-Individual)
604,WO2018022664-A1,LANTERMANN A (LANT-Individual)
605,WO2018022664-A1,HUROV J B (HURO-Individual)
606,WO2018022664-A1,FANKHAUSER M A (FANK-Individual)
607,WO2018022664-A1,SHU C J (SHUC-Individual)
608,WO2018022664-A1,ZHU E F (ZHUE-Individual)
609,WO2018022664-A1,FLAGSHIP PIONEERING INNOVATIONS V INC (FLAG-Non-standard)
610,WO2018022668-A2,FLAGSHIP PIONEERING INC (FLAG-Non-standard)
611,WO2018022668-A2,WEINSTEIN E (WEIN-Individual)
612,WO2018022668-A2,MATA-FINK J (MATA-Individual)
613,WO2018022668-A2,KAHVEJIAN A (KAHV-Individual)
614,WO2018022668-A2,AFEYAN N B (AFEY-Individual)
615,WO2018022668-A2,JEANBART L K (JEAN-Individual)
616,WO2018022668-A2,LANTERMANN A (LANT-Individual)
617,WO2018022668-A2,HUROV J B (HURO-Individual)
618,WO2018022668-A2,FLAGSHIP PIONEERING INNOVATIONS V INC (FLAG-Non-standard)
619,WO2018022668-A2,FLAGSHIP PIONEERING INNOVATIONS V INC (FLAG-Non-standard)
620,CN107630109-A,UNIV SOUTH CHINA AGRIC (USCG-C)
621,WO2018017443-A1,HARVARD COLLEGE (HARD-C)
622,WO2018011751-A1,ABIOGEN PHARMA SPA (ABIO-Non-standard)
623,WO2018011751-A1,ABIOGEN PHARMA SPA (ABIO-Non-standard)
624,WO2018011751-A1,ABIOGEN PHARMA SPA (ABIO-Non-standard)
625,WO2018011751-A1,ABIOGEN PHARMA SPA (ABIO-Non-standard)
626,WO2018013830-A1,SEO D (SEOD-Individual)
627,WO2018013830-A1,HAYDEL S (HAYD-Individual)
628,WO2018013830-A1,SEO D (SEOD-Individual)
629,WO2018013830-A1,HAYDEL S (HAYD-Individual)
630,US2018015072-A1,ZHU Z (ZHUZ-Individual)
631,US2018015072-A1,LI J (LIJJ-Individual)
632,US2018015072-A1,ZHANG J (ZHAN-Individual)
633,KR2018006340-A,UNIV KOREA RES & BUSINESS FOUND (UYKR-C)
634,CN107557497-A,LANZHOU VETERINARY RES INST CHINA AGRIC (CAGS-C)
635,CN107557494-A,UNIV HUAZHONG AGRIC (UHZA-C)
636,CN107557496-A,NINGBO INT TRAVEL HEALTH CARE CENT (NING-Non-standard)
637,KR2018002504-A,UNIV AJOU IND ACAD COOP FOUND (UYAJ-C)
638,CN107541501-A,PULIKE BIOLOGICAL ENG INC (PULI-Non-standard)
639,CN107537033-A,PULIKE BIOLOGICAL ENG INC (PULI-Non-standard)
640,WO2018005558-A1,US DEPT HEALTH & HUMAN SERVICES (USSH-C)
641,WO2018005558-A1,US DEPT HEALTH & HUMAN SERVICES (USSH-C)
642,WO2018005558-A1,US DEPT HEALTH & HUMAN SERVICES (USSH-C)
643,WO2017221276-A1,CAPRETTO EHF (CAPR-Non-standard)
644,WO2017221276-A1,CAPRETTO EHF (CAPR-Non-standard)
645,WO2017221276-A1,CAPRETTO EHF (CAPR-Non-standard)
646,WO2017221276-A1,CAPRETTO EHF (CAPR-Non-standard)
647,WO2017222935-A1,UNIV KANSAS STATE RES FOUND (UNIV-C)
648,WO2017222935-A1,UNIV WICHITA STATE (UYWI-Non-standard)
649,US2017360923-A1,MERIAL INC (SNFI-C)
650,US2017360923-A1,SANOFI PASTEUR (SNFI-C)
651,US2017360923-A1,MERIAL INC (SNFI-C)
652,US2017360923-A1,SANOFI PASTEUR (SNFI-C)
653,US2017360923-A1,MERIAL INC (SNFI-C)
654,US2017360923-A1,SANOFI PASTEUR (SNFI-C)
655,US2017360923-A1,MERIAL LTD (SNFI-C)
656,US2017360923-A1,SANOFI PASTEUR SA (SNFI-C)
657,US2017360923-A1,MERIAL INC (SNFI-C)
658,US2017360923-A1,SANOFI PASTEUR (SNFI-C)
659,WO2017214596-A1,BETH ISRAEL DEACONESS MEDICAL CENT (BEIS-C)
660,WO2017214596-A1,BETH ISRAEL DEACONESS MEDICAL CENT (BEIS-C)
661,WO2017214596-A1,BETH ISRAEL DEACONESS MEDICAL CENT (BEIS-C)
662,WO2017214596-A1,BETH ISRAEL DEACONESS MEDICAL CENT (BEIS-C)
663,WO2017212422-A1,NOVARTIS CONSUMER HEALTH SA (NOVS-C)
664,KR2017136731-A,SANG J A (SANG-Individual)
665,CN107460255-A,GUANGXI ZHUANG AUTONOMOUS REGION INST (GUAG-C)
666,CN107459511-A,UNIV NANKAI (UNAN-C)
667,CN107451390-A,CC & I RES CO LTD (CCIR-Non-standard)
668,CN107451390-A,C & S INC (CSCS-Non-standard)
669,CN107451390-A,CC & I RES CO LTD (CCIR-Non-standard)
670,KR2017135678-A,UNIV KOREA RES & BUSINESS FOUND (UYKR-C)
671,CN107419034-A,HANGZHOU HONGQIAO BIOTECHNOLOGY CO LTD (HANG-Non-standard)
672,CN107419034-A,UNIV ZHEJIANG SCI-TECH (UZST-C)
673,WO2017205460-A1,EXCISION BIOTHERAPEUTICS INC (EXCI-Non-standard)
674,WO2017205460-A1,EXCISION BIOTHERAPEUTICS INC (EXCI-Non-standard)
675,WO2017205460-A1,EXCISION BIOTHERAPEUTICS INC (EXCI-Non-standard)
676,WO2017205460-A1,EXCISION BIOTHERAPEUTICS INC (EXCI-Non-standard)
677,US2017340611-A1,CHIESI FARM SPA (CHIE-C)
678,US2017340611-A1,CHIESI FARM SPA (CHIE-C)
679,US2017340611-A1,CHIESI FARM SPA (CHIE-C)
680,WO2017197051-A1,C4 THERAPEUTICS INC (CFOU-Non-standard)
681,WO2017197051-A1,C4 THERAPEUTICS INC (CFOU-Non-standard)
682,WO2017197051-A1,C4 THERAPEUTICS INC (CFOU-Non-standard)
683,WO2017197055-A1,C4 THERAPEUTICS INC (CFOU-Non-standard)
684,WO2017197055-A1,C4 THERAPEUTICS INC (CFOU-Non-standard)
685,WO2017197055-A1,C4 THERAPEUTICS INC (CFOU-Non-standard)
686,WO2017197056-A1,C4 THERAPEUTICS INC (CFOU-Non-standard)
687,WO2017197046-A1,C4 THERAPEUTICS INC (CFOU-Non-standard)
688,WO2017197046-A1,C4 THERAPEUTICS INC (CFOU-Non-standard)
689,WO2017197046-A1,C4 THERAPEUTICS INC (CFOU-Non-standard)
690,WO2017197036-A1,C4 THERAPEUTICS INC (CFOU-Non-standard)
691,WO2017197036-A1,C4 THERAPEUTICS INC (CFOU-Non-standard)
692,WO2017197036-A1,C4 THERAPEUTICS INC (CFOU-Non-standard)
693,WO2017197207-A1,OHIO STATE INNOVATION FOUND (OHIS-C)
694,WO2017197207-A1,OHIO STATE INNOVATION FOUND (OHIS-C)
695,WO2017197207-A1,OHIO STATE INNOVATION FOUND (OHIS-C)
696,WO2017197207-A1,OHIO STATE INNOVATION FOUND (OHIS-C)
697,US2017325431-A1,INSECTERGY LLC (INSE-Non-standard)
698,US2017325431-A1,LEO D M (LEOD-Individual)
699,US2017325431-A1,LEO D M (LEOD-Individual)
700,CN107337731-A,ZYME FAST CHANGSHA BIOTECHNOLOGY CO LTD (ZYME-Non-standard)
701,US2017319712-A1,3M INNOVATIVE PROPERTIES CO (MINN-C)
702,CN107326099-A,UNIV ZHEJIANG SCI-TECH (UZST-C)
703,CN107320720-A,PULIKE BIOLOGICAL ENG INC (PULI-Non-standard)
704,CN107326101-A,INSPECTION & QUARANTINE TECHNOLOGY CENT (CAGS-C)
705,KR2017003794-U,SANG J A (SANG-Individual)
706,JP2017195829-A,DOBUTSU SENTAN IRYO CENT KK (DOBU-Non-standard)
707,WO2017187277-A2,VIRGINIA TECH INTELLECTUAL PROPERTIES (VIRG-C)
708,WO2017187277-A2,VIRGINIA TECH INTELLECTUAL PROPERTIES (VIRG-C)
709,WO2017187277-A2,VIRGINIA TECH INTELLECTUAL PROPERTIES (VIRG-C)
710,WO2017187277-A2,VIRGINIA TECH INTELLECTUAL PROPERTIES (VIRG-C)
711,US2017313685-A1,PURDUE RES FOUND (PURD-C)
712,US2017313685-A1,PURDUE RES FOUND (PURD-C)
713,CN107298712-A,INST BEIJING VIRAL DISEASE CONTROL & PRE (CCDC-C)
714,CN107281210-A,CHINESE ACAD MEDICAL SCI (MSUM-C)
715,KR1789269-B1,UNIV KEIMYUNG IND ACADEMIC COOP FOUND (UYKM-C)
716,KR1789269-B1,UNIV CHONBUK NAT IND COOP FOUND (UYCN-C)
717,WO2017180884-A1,UNIV VERMONT & STATE AGRIC COLLEGE (UYVE-Non-standard)
718,WO2017180884-A1,UNIV VERMONT & STATE AGRIC COLLEGE (UYVE-C)
719,WO2017181070-A1,UNIV KANSAS STATE RES FOUND (UNIV-C)
720,CN107245532-A,INSPECTION & QUARANTINE TECHNOLOGY CENT (CAGS-C)
721,CN107245532-A,CHINESE ACAD INSPECTION & QUARANTINE (CAIQ-C)
722,CN107245532-A,INSPECTION & QUARANTINE TECHNOLOGY CENT (CAGS-C)
723,CN107245532-A,LONGYAN ENTRY EXIT INSPECTION & QUARANTI (LONG-Non-standard)
724,CN107245533-A,INSPECTION & QUARANTINE TECHNOLOGY CENT (CAGS-C)
725,CN107245095-A,UNIV WUHAN (UYWU-C)
726,WO2017177073-A1,US DEPT HEALTH & HUMAN SERVICES (USSH-C)
727,WO2017177073-A1,US DEPT HEALTH & HUMAN SERVICES (USSH-C)
728,WO2017177073-A1,US DEPT HEALTH & HUMAN SERVICES (USSH-C)
729,WO2017176596-A1,UNIV JEFFERSON THOMAS (UTJF-C)
730,WO2017176596-A1,US DEPT HEALTH & HUMAN SERVICES (USSH-C)
731,WO2017176596-A1,UNIV MARYLAND (UMBA-C)
732,WO2017176596-A1,US DEPT HEALTH & HUMAN SERVICES (USSH-C)
